Metodo,Iteraciones,Tiempo (s),CPU (%),RAM (MB),Costo final,Precision final
Descenso de Gradiente,2445,0.08036830002674833,97.1,0.15625,0.029407875511623247,0.964
Busqueda Aleatoria,556,0.01026750000892207,0.0,0.0,0.027563466640175182,0.968
